pmid,pmcid,title,figure_id,figure_label,figure_title,figure_url,figure_depiction,figure_legend,source_description_in_figure,target_description_in_figure,direction,source_type,target_type,note
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",Epigenetic factors,Senescence,posi,molecule,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",Telomere erosion,DDR,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",Oncogene overexpression,DDR,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",ROS,DNA damage,posi,compound,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",DNA damage,DDR,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",Mitochondrial dysfunction,DDR,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",Inflammation,DDR,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",DDR,p53,posi,process,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",MDM2,p53,nega,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",p53,p21,posi,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",p21,CDK4/6,nega,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",p21,CDK4/6,nega,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",CDK4/6,Rb,nega,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",CDK4/6,Rb,nega,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",Rb,G1 Arrest,nega,molecule,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",p16,CDK4/6,nega,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",p16,CDK4/6,nega,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",INK4A/ARF induction,p16,posi,process,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",INK4A/ARF induction,ARF,posi,process,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",ARF,MDM2,nega,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",JMJ3D,INK4A/ARF locus,posi,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,"The senescence growth arrest is regulated through two main pathways, p16INK4a/Rb and p53/p21CIP1, both which converge on repression of CDK4/6. The INK4A/ARF locus is normally silenced by Polycomb repressive complexes (PRCs) and becomes activated during senescence. The p53/p21CIP1 pathway is activated downstream of the DNA damage response (DDR) from repair-resistant DNA segments with chromatin alterations reinforcing senescence (DNA-SCARS).",JMJ3D,INK4A/ARF locus,posi,molecule,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,"The SASP mediates many of the cell-extrinsic functions of senescent cells. Among those it reinforces several aspects of senescence including growth arrest and the SASP itself via an autocrine loop. The SASP also recruits immune cells, such as macrophages, neutrophils, and natural killer (NK) cells to phagocytose and eliminate the senescent cell. Secretion of MMPs and factors such as VEGF can remodel the surrounding tissue, inducing angiogenesis and reducing fibrosis. Finally, secretion of molecules such as TGF-β can spread the senescence phenotype in a paracrine manner to surrounding cells.",SASP,Immune cell recruitment,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,"The SASP mediates many of the cell-extrinsic functions of senescent cells. Among those it reinforces several aspects of senescence including growth arrest and the SASP itself via an autocrine loop. The SASP also recruits immune cells, such as macrophages, neutrophils, and natural killer (NK) cells to phagocytose and eliminate the senescent cell. Secretion of MMPs and factors such as VEGF can remodel the surrounding tissue, inducing angiogenesis and reducing fibrosis. Finally, secretion of molecules such as TGF-β can spread the senescence phenotype in a paracrine manner to surrounding cells.",SASP,Tissue remodeling,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,"The SASP mediates many of the cell-extrinsic functions of senescent cells. Among those it reinforces several aspects of senescence including growth arrest and the SASP itself via an autocrine loop. The SASP also recruits immune cells, such as macrophages, neutrophils, and natural killer (NK) cells to phagocytose and eliminate the senescent cell. Secretion of MMPs and factors such as VEGF can remodel the surrounding tissue, inducing angiogenesis and reducing fibrosis. Finally, secretion of molecules such as TGF-β can spread the senescence phenotype in a paracrine manner to surrounding cells.",SASP,Paracrine senescence,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,"The SASP mediates many of the cell-extrinsic functions of senescent cells. Among those it reinforces several aspects of senescence including growth arrest and the SASP itself via an autocrine loop. The SASP also recruits immune cells, such as macrophages, neutrophils, and natural killer (NK) cells to phagocytose and eliminate the senescent cell. Secretion of MMPs and factors such as VEGF can remodel the surrounding tissue, inducing angiogenesis and reducing fibrosis. Finally, secretion of molecules such as TGF-β can spread the senescence phenotype in a paracrine manner to surrounding cells.",SASP,Autocrine senescence,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,"The SASP mediates many of the cell-extrinsic functions of senescent cells. Among those it reinforces several aspects of senescence including growth arrest and the SASP itself via an autocrine loop. The SASP also recruits immune cells, such as macrophages, neutrophils, and natural killer (NK) cells to phagocytose and eliminate the senescent cell. Secretion of MMPs and factors such as VEGF can remodel the surrounding tissue, inducing angiogenesis and reducing fibrosis. Finally, secretion of molecules such as TGF-β can spread the senescence phenotype in a paracrine manner to surrounding cells.",SASP,NK Cell,posi,process,cell,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,"The SASP mediates many of the cell-extrinsic functions of senescent cells. Among those it reinforces several aspects of senescence including growth arrest and the SASP itself via an autocrine loop. The SASP also recruits immune cells, such as macrophages, neutrophils, and natural killer (NK) cells to phagocytose and eliminate the senescent cell. Secretion of MMPs and factors such as VEGF can remodel the surrounding tissue, inducing angiogenesis and reducing fibrosis. Finally, secretion of molecules such as TGF-β can spread the senescence phenotype in a paracrine manner to surrounding cells.",SASP,Macrophage,posi,process,cell,
